Banco;Sociedad;Fecha Documento;CIF;Proveedor;Nº Factura;Importe;F. Anticipo;F. Vencimiento;Días;% Interés;% Comisión;Total Comisión;Total Interés;% Reparto;Comisión Prisma;Interés Prisma;Calculo com Prisma;Calculo int prisma;Total diferencia
Zafiro;Rojo;05/01/2026;B35806964;Canalizaciones Alpinos S.L.;1214148;720,35;04/12/2025;27/05/2026;47;15,88;1,85;13,33;14,93;50;6,87;7,54;=G2*(L2/100)*(O2/100);=G2*(K2/360/100)*J2*(O2/100);=P2-R2+Q2-S2
Zafiro;Rojo;05/01/2026;A51769846;Cadenas Vitrificados S.A.;3923137;245,89;08/12/2025;17/04/2026;17;39,81;1,61;3,96;4,62;20;0,66;1,2;=G3*(L3/100)*(O3/100);=G3*(K3/360/100)*J3*(O3/100);=P3-R3+Q3-S3
Zafiro;Rojo;05/01/2026;B29052909;Iluminaciones Digitalizados S.L.;3929864;9140,77;20/12/2025;14/02/2026;55;27,16;2,1;191,96;379,29;70;134,49;265,25;=G4*(L4/100)*(O4/100);=G4*(K4/360/100)*J4*(O4/100);=P4-R4+Q4-S4
Zafiro;Rojo;05/01/2026;B16297723;Morteros Adriáticos S.L.;2982469;8068,82;26/12/2025;04/02/2026;61;10,17;1,16;93,6;139,05;20;18,59;28,04;=G5*(L5/100)*(O5/100);=G5*(K5/360/100)*J5*(O5/100);=P5-R5+Q5-S5
Zafiro;Rojo;05/01/2026;B53896459;Proyectos Cementados S.L.;2909062;4394,71;02/12/2025;06/01/2026;73;14,81;0,71;31,2;131,98;50;15,84;65,93;=G6*(L6/100)*(O6/100);=G6*(K6/360/100)*J6*(O6/100);=P6-R6+Q6-S6
Zafiro;Rojo;05/01/2026;A34840080;Drenajes Aplicados S.A.;4334789;804,85;09/12/2025;03/01/2026;14;34,44;1,59;12,8;10,78;60;7,73;6,19;=G7*(L7/100)*(O7/100);=G7*(K7/360/100)*J7*(O7/100);=P7-R7+Q7-S7
Zafiro;Rojo;05/01/2026;A29596985;Siliconas Calificados S.A.;4407899;218,95;05/12/2025;15/04/2026;20;49,05;1,46;3,2;5,97;30;1,06;1,53;=G8*(L8/100)*(O8/100);=G8*(K8/360/100)*J8*(O8/100);=P8-R8+Q8-S8
Zafiro;Rojo;05/01/2026;B42360172;Bioestimulantes Líderes S.L.;4135245;1711,9;02/12/2025;24/03/2026;23;10,88;1,56;26,71;11,9;50;13,24;6,09;=G9*(L9/100)*(O9/100);=G9*(K9/360/100)*J9*(O9/100);=P9-R9+Q9-S9
Zafiro;Rojo;05/01/2026;A64935709;Inductores Reciclables S.A.;2002505;774,88;04/12/2025;27/05/2026;23;48,93;1,95;15,11;24,22;30;4,52;7,37;=G10*(L10/100)*(O10/100);=G10*(K10/360/100)*J10*(O10/100);=P10-R10+Q10-S10
Zafiro;Rojo;05/01/2026;A93784332;Biogases Contemporáneos S.A.;4719849;552,07;18/12/2025;14/06/2026;29;47,63;0,77;4,25;21,18;30;1,14;6,4;=G11*(L11/100)*(O11/100);=G11*(K11/360/100)*J11*(O11/100);=P11-R11+Q11-S11
Zafiro;Rojo;05/01/2026;A66028313;Registros Pioneros S.A.;3579753;266,95;13/12/2025;22/06/2026;78;11,96;1,48;3,95;6,92;60;2,66;3,86;=G12*(L12/100)*(O12/100);=G12*(K12/360/100)*J12*(O12/100);=P12-R12+Q12-S12
Zafiro;Rojo;05/01/2026;A63172756;Contrachapados Adriáticos S.A.;2450152;561,22;23/12/2025;16/06/2026;22;19;0,82;4,6;6,52;70;3,17;4,26;=G13*(L13/100)*(O13/100);=G13*(K13/360/100)*J13*(O13/100);=P13-R13+Q13-S13
Zafiro;Rojo;05/01/2026;B91196412;Azulejos Livianos S.L.;4330978;665,19;17/12/2025;24/04/2026;60;37,12;1,44;9,58;41,15;50;4,7;20,8;=G14*(L14/100)*(O14/100);=G14*(K14/360/100)*J14*(O14/100);=P14-R14+Q14-S14
Zafiro;Rojo;05/01/2026;A68354808;Colorantes Extremeños S.A.;4163515;653,55;21/12/2025;23/02/2026;88;41,67;1,72;11,24;66,57;50;5,44;33,58;=G15*(L15/100)*(O15/100);=G15*(K15/360/100)*J15*(O15/100);=P15-R15+Q15-S15
Zafiro;Rojo;05/01/2026;B48716368;Papeles Cromados S.L.;2707327;3310,85;02/12/2025;18/02/2026;47;27,93;0,7;23,18;120,73;40;9,25;48,26;=G16*(L16/100)*(O16/100);=G16*(K16/360/100)*J16*(O16/100);=P16-R16+Q16-S16
